                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 0.7575,                 0.5142,                0.97235,                0.78108,                0.75521,                0.79848,                 0.6387,                0.80849,                0.65596,                 1.0068,             0.00021703,             0.00021703,             0.00021703
                     91,                  0.752,                0.50258,                0.97139,                0.75852,                0.77775,                0.80452,                0.64212,                 0.8004,                0.65806,                 1.0029,             0.00021356,             0.00021356,             0.00021356
                     92,                0.75479,                 0.5043,                0.97244,                0.78821,                0.79295,                0.81421,                0.64938,                 0.8035,                0.65101,                 1.0034,             0.00021008,             0.00021008,             0.00021008
                     93,                0.75065,                0.50179,                 0.9704,                0.77679,                0.78858,                 0.8072,                0.63851,                0.81199,                0.65737,                  1.007,             0.00020661,             0.00020661,             0.00020661
                     94,                0.74846,                0.49446,                0.97425,                0.79457,                0.76907,                0.80775,                0.64279,                0.80284,                0.65274,                 1.0038,             0.00020314,             0.00020314,             0.00020314
                     95,                0.74742,                0.49313,                0.96808,                0.77879,                0.75783,                0.80483,                0.63877,                0.80434,                0.65832,                 1.0046,             0.00019967,             0.00019967,             0.00019967
                     96,                0.74324,                 0.4893,                0.96355,                0.79461,                0.76738,                0.80683,                0.63938,                0.80433,                0.65536,                 1.0043,              0.0001962,              0.0001962,              0.0001962
                     97,                0.74307,                0.48576,                0.96426,                0.76821,                0.77136,                0.80654,                0.64052,                0.80041,                0.65322,                 1.0013,             0.00019273,             0.00019273,             0.00019273
                     98,                0.74067,                 0.4855,                0.96688,                0.81795,                0.72787,                0.79827,                0.63906,                0.80724,                0.65327,                  1.005,             0.00018925,             0.00018925,             0.00018925
                     99,                0.73886,                0.48105,                0.96392,                0.76023,                0.78111,                0.80287,                0.64045,                0.80629,                0.65594,                 1.0044,             0.00018578,             0.00018578,             0.00018578
                    100,                0.73871,                0.48232,                0.96007,                0.74162,                0.80289,                0.80757,                0.64155,                0.80809,                0.65574,                 1.0058,             0.00018231,             0.00018231,             0.00018231
                    101,                0.73398,                 0.4774,                0.95989,                0.78441,                0.74375,                0.79966,                0.64194,                0.80417,                0.65779,                 1.0047,             0.00017884,             0.00017884,             0.00017884
                    102,                0.73428,                0.47954,                0.96208,                0.75714,                0.78149,                0.80546,                0.64327,                0.80879,                0.65851,                 1.0069,             0.00017537,             0.00017537,             0.00017537
                    103,                0.73095,                0.47355,                0.95973,                0.80195,                0.77025,                0.80476,                0.64084,                0.80499,                0.65502,                 1.0051,              0.0001719,              0.0001719,              0.0001719
                    104,                0.72526,                0.46544,                0.95636,                0.76835,                0.77912,                 0.8053,                0.64074,                0.80408,                0.65534,                 1.0026,             0.00016843,             0.00016843,             0.00016843
                    105,                0.73057,                0.46787,                0.95761,                0.79073,                0.76356,                 0.8045,                 0.6397,                0.80707,                 0.6569,                 1.0045,             0.00016495,             0.00016495,             0.00016495
                    106,                0.72357,                0.46332,                0.95791,                0.81219,                0.75009,                0.80873,                0.64367,                0.80226,                 0.6549,                 1.0013,             0.00016148,             0.00016148,             0.00016148
                    107,                0.72274,                0.45939,                0.95645,                0.81771,                0.75414,                0.81142,                0.64293,                0.80572,                0.65776,                 1.0037,             0.00015801,             0.00015801,             0.00015801
                    108,                0.71965,                0.45609,                0.95429,                0.78894,                0.77134,                  0.806,                 0.6439,                0.80298,                0.65771,                 1.0025,             0.00015454,             0.00015454,             0.00015454
                    109,                0.72013,                0.45916,                0.95193,                0.74826,                0.79747,                0.80504,                 0.6441,                0.80031,                0.65772,                 1.0011,             0.00015107,             0.00015107,             0.00015107
                    110,                0.71603,                0.45603,                0.95664,                0.74278,                0.80102,                0.80257,                0.63939,                0.79913,                0.66039,                 1.0011,              0.0001476,              0.0001476,              0.0001476
                    111,                0.71375,                0.45018,                0.95125,                 0.7931,                0.74928,                0.80249,                0.63998,                0.79955,                0.65898,                 1.0019,             0.00014412,             0.00014412,             0.00014412
                    112,                0.71253,                0.44695,                0.95031,                0.78519,                0.77073,                0.80706,                0.64138,                0.80322,                0.65939,                 1.0036,             0.00014065,             0.00014065,             0.00014065
                    113,                0.70713,                 0.4451,                0.94915,                0.76643,                0.78877,                0.80566,                0.63975,                0.80595,                0.66104,                 1.0053,             0.00013718,             0.00013718,             0.00013718
                    114,                0.70665,                0.44589,                0.94852,                0.81396,                0.75618,                0.80506,                 0.6427,                0.80412,                0.66288,                 1.0035,             0.00013371,             0.00013371,             0.00013371
                    115,                0.70264,                0.44185,                0.95041,                0.76374,                0.78635,                 0.8032,                0.64155,                0.80404,                0.66329,                 1.0035,             0.00013024,             0.00013024,             0.00013024
                    116,                0.70222,                0.43734,                0.94717,                0.78037,                0.77267,                0.80508,                0.64625,                0.80279,                0.66254,                  1.003,             0.00012677,             0.00012677,             0.00012677
                    117,                0.70331,                0.43749,                0.94455,                0.77312,                0.77683,                0.80762,                0.64853,                0.79922,                 0.6619,                 1.0016,             0.00012329,             0.00012329,             0.00012329
                    118,                0.70223,                0.43912,                0.94114,                0.77352,                0.77917,                0.80363,                0.64536,                0.79994,                0.66439,                 1.0019,             0.00011982,             0.00011982,             0.00011982
                    119,                0.69461,                0.43254,                0.94242,                0.80996,                0.76135,                0.80399,                0.64417,                0.80098,                0.66294,                 1.0025,             0.00011635,             0.00011635,             0.00011635
                    120,                0.69231,                0.42686,                0.94162,                0.81514,                0.74786,                0.80499,                0.64403,                0.80193,                 0.6609,                 1.0027,             0.00011288,             0.00011288,             0.00011288
                    121,                0.69555,                0.43211,                0.94309,                0.79824,                0.75273,                0.80346,                0.64424,                0.80034,                0.66141,                 1.0023,             0.00010941,             0.00010941,             0.00010941
