                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.94849,                0.75894,                 1.0546,                0.66707,                0.67913,                0.69843,                0.51805,                0.93882,                0.79206,                 1.0596,             0.00026216,             0.00026216,             0.00026216
                     78,                0.95345,                0.77161,                 1.0478,                  0.645,                0.68609,                0.70087,                0.53165,                0.89907,                0.78498,                 1.0439,             0.00025869,             0.00025869,             0.00025869
                     79,                 0.9518,                0.76863,                 1.0539,                0.69245,                0.66952,                0.70639,                0.53604,                0.90023,                0.78764,                 1.0443,             0.00025522,             0.00025522,             0.00025522
                     80,                0.94658,                0.76174,                 1.0535,                0.70315,                0.65424,                0.69842,                0.53645,                0.89587,                0.78807,                 1.0412,             0.00025174,             0.00025174,             0.00025174
                     81,                0.94589,                0.75819,                 1.0489,                0.66653,                0.67127,                0.69973,                0.53204,                0.89493,                 0.7839,                 1.0421,             0.00024827,             0.00024827,             0.00024827
                     82,                 0.9406,                0.75049,                 1.0541,                0.68121,                0.66076,                0.69833,                0.53503,                0.90219,                 0.7902,                 1.0448,              0.0002448,              0.0002448,              0.0002448
                     83,                0.93076,                0.74831,                 1.0451,                0.71932,                0.64896,                0.70069,                0.53348,                0.90702,                0.78891,                  1.046,             0.00024133,             0.00024133,             0.00024133
                     84,                0.94088,                0.74755,                 1.0522,                0.71771,                0.64978,                0.70009,                0.53362,                0.89315,                0.78146,                 1.0423,             0.00023786,             0.00023786,             0.00023786
                     85,                0.93312,                0.74036,                  1.047,                0.66704,                0.68582,                0.71547,                0.54452,                0.89845,                0.76634,                 1.0464,             0.00023439,             0.00023439,             0.00023439
                     86,                0.93697,                0.74484,                 1.0455,                 0.7291,                 0.6662,                0.71579,                0.54887,                0.89719,                0.75581,                 1.0418,             0.00023091,             0.00023091,             0.00023091
                     87,                0.93372,                 0.7364,                  1.046,                0.67998,                0.70761,                0.71458,                0.54239,                0.89104,                0.76615,                 1.0419,             0.00022744,             0.00022744,             0.00022744
                     88,                0.94388,                0.73812,                 1.0488,                0.67888,                0.65155,                0.70403,                0.53421,                0.89625,                0.77961,                 1.0439,             0.00022397,             0.00022397,             0.00022397
                     89,                0.92674,                0.72737,                 1.0405,                0.68217,                0.69712,                0.71245,                0.53935,                0.89959,                0.76957,                 1.0434,              0.0002205,              0.0002205,              0.0002205
                     90,                0.92908,                 0.7331,                 1.0464,                0.67738,                0.68365,                0.71598,                0.54656,                0.88936,                 0.7533,                 1.0394,             0.00021703,             0.00021703,             0.00021703
                     91,                0.91962,                0.72693,                 1.0407,                0.64104,                0.68503,                0.70543,                0.53899,                0.89071,                 0.7731,                 1.0383,             0.00021356,             0.00021356,             0.00021356
                     92,                0.91971,                0.72401,                  1.042,                0.69526,                0.68152,                0.71466,                0.55351,                0.88987,                 0.7535,                 1.0374,             0.00021008,             0.00021008,             0.00021008
                     93,                0.92638,                0.72408,                 1.0406,                0.68618,                0.68051,                0.71098,                0.54448,                0.89354,                0.75886,                 1.0385,             0.00020661,             0.00020661,             0.00020661
                     94,                0.91892,                 0.7178,                  1.038,                 0.7091,                0.67872,                0.72292,                0.54892,                0.91047,                0.76529,                 1.0447,             0.00020314,             0.00020314,             0.00020314
                     95,                0.91585,                0.71447,                  1.036,                0.71126,                0.66693,                0.71603,                0.54722,                0.89113,                0.75896,                 1.0391,             0.00019967,             0.00019967,             0.00019967
                     96,                0.91394,                0.70766,                 1.0343,                0.74231,                0.68219,                0.72374,                0.55051,                 0.8889,                0.75117,                 1.0387,              0.0001962,              0.0001962,              0.0001962
                     97,                0.91517,                0.71105,                 1.0389,                0.61974,                0.72521,                0.71506,                0.54449,                0.90014,                0.76424,                 1.0438,             0.00019273,             0.00019273,             0.00019273
                     98,                0.91606,                0.70983,                 1.0336,                0.64717,                0.71197,                0.71294,                0.54327,                0.89217,                0.75378,                  1.037,             0.00018925,             0.00018925,             0.00018925
                     99,                0.90803,                0.70534,                 1.0308,                0.62678,                0.73581,                0.71851,                0.55032,                0.88823,                0.75775,                 1.0354,             0.00018578,             0.00018578,             0.00018578
                    100,                0.90883,                0.70146,                 1.0351,                0.61017,                0.73892,                 0.7261,                0.55071,                0.88914,                 0.7528,                 1.0369,             0.00018231,             0.00018231,             0.00018231
