                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 0.8133,                0.58748,                 1.0022,                0.74331,                0.77019,                0.79384,                0.63036,                0.80596,                0.66113,                 1.0067,             0.00033853,             0.00033853,             0.00033853
                     56,                0.81784,                0.59273,                 1.0033,                0.75767,                0.77818,                0.80388,                0.64104,                0.81145,                0.65248,                 1.0073,             0.00033506,             0.00033506,             0.00033506
                     57,                0.80724,                0.58585,                 1.0018,                0.74937,                0.80881,                0.80007,                0.63456,                0.81269,                0.65929,                 1.0117,             0.00033159,             0.00033159,             0.00033159
                     58,                0.80669,                0.57343,                 0.9971,                0.77997,                0.75975,                0.79966,                0.64177,                0.80854,                0.65676,                  1.007,             0.00032812,             0.00032812,             0.00032812
                     59,                0.80533,                0.56722,                0.99518,                0.81097,                0.75155,                0.80172,                0.63762,                 0.8109,                0.65514,                 1.0077,             0.00032465,             0.00032465,             0.00032465
                     60,                0.80614,                0.57284,                 0.9966,                0.77001,                0.77621,                0.80329,                0.63849,                0.80261,                0.65718,                 1.0033,             0.00032118,             0.00032118,             0.00032118
                     61,                0.80315,                0.56557,                0.99164,                0.79482,                0.75532,                0.80547,                0.64025,                0.80131,                0.65182,                 1.0018,              0.0003177,              0.0003177,              0.0003177
                     62,                0.79578,                0.56221,                0.99149,                0.82578,                0.76715,                0.80531,                0.63997,                0.80838,                   0.65,                 1.0062,             0.00031423,             0.00031423,             0.00031423
                     63,                 0.7902,                0.55063,                0.99096,                0.77163,                0.75164,                0.79301,                0.64183,                0.80492,                0.65567,                 1.0038,             0.00031076,             0.00031076,             0.00031076
                     64,                 0.7917,                0.54599,                0.99002,                0.77519,                0.78091,                0.80249,                0.64352,                0.81355,                0.65152,                 1.0083,             0.00030729,             0.00030729,             0.00030729
                     65,                0.79472,                0.55641,                0.99285,                0.79845,                0.75385,                0.80104,                0.64422,                0.79731,                0.64768,                 1.0005,             0.00030382,             0.00030382,             0.00030382
                     66,                 0.7848,                0.54468,                0.98599,                0.77506,                0.77674,                0.79631,                0.64394,                0.79345,                0.65058,                0.99983,             0.00030035,             0.00030035,             0.00030035
                     67,                0.78308,                0.53644,                0.98655,                0.80839,                0.76329,                0.80326,                0.64754,                0.79278,                0.64222,                0.99799,             0.00029687,             0.00029687,             0.00029687
                     68,                 0.7863,                0.53637,                0.98354,                 0.7643,                0.78478,                0.80381,                0.63983,                0.80262,                0.64393,                 1.0028,              0.0002934,              0.0002934,              0.0002934
                     69,                0.77474,                0.53173,                0.98367,                0.81137,                 0.7748,                0.80745,                0.64156,                0.79632,                0.64136,                 1.0013,             0.00028993,             0.00028993,             0.00028993
                     70,                0.77183,                0.52225,                0.98236,                0.79962,                0.76674,                0.79555,                 0.6377,                0.79634,                0.64265,                0.99947,             0.00028646,             0.00028646,             0.00028646
                     71,                0.77997,                0.52458,                0.98156,                0.81868,                0.75899,                0.80458,                  0.648,                0.79288,                 0.6415,                0.99757,             0.00028299,             0.00028299,             0.00028299
                     72,                 0.7663,                0.51982,                0.98151,                0.79449,                0.76555,                0.80144,                  0.642,                0.79999,                0.64657,                 1.0034,             0.00027952,             0.00027952,             0.00027952
                     73,                0.76783,                0.50938,                0.97422,                0.80872,                0.76691,                0.79859,                0.64541,                0.79909,                0.64907,                0.99969,             0.00027604,             0.00027604,             0.00027604
                     74,                0.76512,                0.51005,                0.97678,                0.81853,                0.76198,                0.80668,                0.64529,                0.79497,                0.64534,                0.99784,             0.00027257,             0.00027257,             0.00027257
                     75,                0.76133,                0.50842,                0.97558,                0.79695,                0.77842,                0.80581,                0.64805,                0.79925,                0.65531,                0.99965,              0.0002691,              0.0002691,              0.0002691
                     76,                0.75962,                0.50875,                0.97085,                0.78212,                0.77789,                0.81077,                 0.6551,                0.78654,                 0.6432,                0.99438,             0.00026563,             0.00026563,             0.00026563
                     77,                0.75768,                0.49795,                0.97592,                0.79471,                0.76939,                0.79833,                0.64247,                0.79641,                0.64941,                 1.0001,             0.00026216,             0.00026216,             0.00026216
                     78,                0.75655,                0.49774,                0.96866,                0.74499,                0.80636,                0.80403,                0.65067,                0.79259,                 0.6389,                0.99535,             0.00025869,             0.00025869,             0.00025869
                     79,                0.75452,                0.49849,                0.96976,                 0.7818,                 0.7848,                0.81519,                0.65704,                 0.7889,                0.64017,                0.99642,             0.00025522,             0.00025522,             0.00025522
                     80,                0.75438,                0.49513,                0.97121,                 0.7921,                0.79852,                0.80918,                0.65038,                0.78967,                0.63986,                0.99533,             0.00025174,             0.00025174,             0.00025174
                     81,                0.74632,                 0.4873,                0.96676,                  0.796,                0.77086,                0.80249,                0.64766,                0.79268,                0.64289,                0.99705,             0.00024827,             0.00024827,             0.00024827
                     82,                0.74214,                0.47905,                0.96809,                0.80621,                0.76802,                 0.8122,                0.65323,                0.79076,                0.64119,                0.99432,              0.0002448,              0.0002448,              0.0002448
                     83,                0.74112,                0.47905,                0.96649,                0.77956,                0.78378,                0.81378,                0.65316,                0.79002,                0.63811,                 0.9941,             0.00024133,             0.00024133,             0.00024133
                     84,                0.74227,                0.47799,                0.96773,                 0.8077,                0.78545,                0.81732,                0.65788,                0.79129,                0.63967,                  0.996,             0.00023786,             0.00023786,             0.00023786
                     85,                0.73808,                0.47074,                0.96287,                0.80428,                 0.7896,                0.81199,                0.65466,                0.78493,                0.64024,                0.99219,             0.00023439,             0.00023439,             0.00023439
                     86,                0.73821,                0.47178,                0.96422,                0.77845,                 0.7961,                0.81424,                0.65716,                0.78914,                0.64486,                0.99435,             0.00023091,             0.00023091,             0.00023091
                     87,                0.73309,                0.46448,                0.95898,                0.80294,                0.78641,                0.81194,                 0.6516,                0.78928,                0.64774,                 0.9946,             0.00022744,             0.00022744,             0.00022744
                     88,                0.72924,                0.46287,                0.95927,                0.83624,                0.76417,                0.81298,                0.65709,                0.78971,                0.64405,                0.99528,             0.00022397,             0.00022397,             0.00022397
                     89,                0.72939,                 0.4612,                0.95669,                0.82006,                 0.7851,                0.82225,                 0.6601,                0.79254,                0.64305,                0.99668,              0.0002205,              0.0002205,              0.0002205
                     90,                0.72749,                0.45936,                 0.9592,                 0.8224,                 0.7703,                0.81648,                0.65812,                0.78611,                0.64154,                0.99361,             0.00021703,             0.00021703,             0.00021703
                     91,                0.72537,                0.45422,                 0.9571,                0.78689,                0.79453,                0.81653,                0.66081,                0.78357,                0.64472,                0.99308,             0.00021356,             0.00021356,             0.00021356
                     92,                0.72164,                0.44923,                0.95825,                0.77122,                0.80888,                0.81705,                0.66238,                0.78269,                0.64243,                0.99215,             0.00021008,             0.00021008,             0.00021008
