                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.84905,                0.63493,                 1.0199,                0.72866,                0.71853,                0.76531,                0.59987,                0.84157,                0.68152,                 1.0189,             0.00035589,             0.00035589,             0.00035589
                     51,                0.84603,                0.63596,                 1.0159,                0.76068,                0.72616,                0.77012,                0.60566,                0.83089,                0.68038,                 1.0141,             0.00035242,             0.00035242,             0.00035242
                     52,                0.84205,                0.62335,                 1.0125,                 0.7386,                0.73383,                0.77319,                0.61076,                0.83397,                0.68176,                 1.0169,             0.00034895,             0.00034895,             0.00034895
                     53,                0.84117,                0.62553,                 1.0073,                0.75417,                 0.7098,                0.77279,                0.60745,                0.84111,                  0.678,                 1.0166,             0.00034548,             0.00034548,             0.00034548
                     54,                0.83942,                0.61839,                 1.0162,                0.79308,                 0.6953,                0.77905,                0.60925,                0.83786,                 0.6599,                 1.0146,             0.00034201,             0.00034201,             0.00034201
                     55,                0.84011,                0.60559,                 1.0076,                 0.8097,                0.68822,                0.77793,                 0.6161,                0.82715,                0.65931,                 1.0128,             0.00033853,             0.00033853,             0.00033853
                     56,                0.83288,                0.61028,                 1.0041,                0.72559,                 0.7617,                0.79072,                0.62447,                0.82416,                0.65652,                 1.0101,             0.00033506,             0.00033506,             0.00033506
                     57,                0.83094,                0.60495,                 1.0087,                0.76898,                0.73256,                0.78464,                0.61364,                0.83095,                 0.6733,                 1.0152,             0.00033159,             0.00033159,             0.00033159
                     58,                0.82728,                0.59567,                 1.0037,                0.76181,                0.73868,                0.77623,                0.61646,                0.81909,                 0.6603,                  1.008,             0.00032812,             0.00032812,             0.00032812
                     59,                0.82409,                 0.5919,                 1.0007,                0.77787,                0.72777,                0.78988,                0.62026,                0.83162,                0.65622,                 1.0132,             0.00032465,             0.00032465,             0.00032465
                     60,                0.82331,                 0.5902,                0.99875,                0.77736,                0.71685,                0.77853,                0.61431,                0.83812,                0.66329,                 1.0165,             0.00032118,             0.00032118,             0.00032118
                     61,                0.82579,                0.58728,                0.99895,                0.72907,                0.77806,                0.79322,                0.62607,                0.82806,                0.65201,                 1.0081,              0.0003177,              0.0003177,              0.0003177
